x,y,h
114.1954219,30.58778133,1
114.1954219,30.58957796,11
114.1954219,30.59137459,17
114.1954219,30.59317122,6
114.1954219,30.59496785,12
114.1954219,30.59676448,35
114.1954219,30.59856111,68
114.1954219,30.60035774,15
114.1954219,30.60215437,33
114.1954219,30.60574763,8
114.1954219,30.60754426,6
114.1954219,30.60934089,22
114.1954219,30.61113753,2
114.1954219,30.61293416,31
114.1954219,30.61473079,28
114.1954219,30.61652742,35
114.1954219,30.61832405,15
114.1954219,30.62012068,17
114.1954219,30.62191731,92
114.1954219,30.62371394,84
114.1954219,30.62551057,25
114.1954219,30.6273072,79
114.1954219,30.62910383,47
114.1954219,30.63090046,13
114.1975061,30.50693295,2
114.1975061,30.50872958,3
114.1975061,30.51052621,3
114.1975061,30.51591611,4
114.1975061,30.52310263,2
114.1975061,30.52489926,4
114.1975061,30.53028915,6
114.1975061,30.53208578,2
114.1975061,30.53388241,52
114.1975061,30.53747567,8
114.1975061,30.5392723,33
114.1975061,30.54106893,23
114.1975061,30.54286556,11
114.1975061,30.54466219,22
114.1975061,30.54825546,2
114.1975061,30.55184872,41
114.1975061,30.55364535,15
114.1975061,30.55544198,4
114.1975061,30.55903524,4
114.1975061,30.56083187,14
114.1975061,30.5626285,1
114.1975061,30.56442513,26
